副本ID	名称	地图	等级	副本类型	怪物等级	宝宝几率	怪物1(怪物id/几率)	怪物2	怪物3	怪物4	怪物5	怪物6	怪物7	怪物8	怪物9	怪物10
sceneid	name	map	lv	scenetype			monster1	monster2	monster3	monster4	monster5	monster6	monster7	monster8	monster9	monster10
1	溪谷岔路	1	1	1	5			10002|100								
2	大囧龟	1	1	1	10		10010|100		10012|100	10012|100	10012|100	10012|100	10012|100	10012|100	10012|100	10012|100
3	旋梯深渊	1	1	1			10019|100	10020|100	10021|100	10021|100	10021|100	10021|100	10021|100	10021|100	10021|100	10021|100
4	还我八格包包	1	1	1			10028|100	10029|100	10030|100	10030|100	10030|100	10030|100	10030|100	10030|100	10030|100	10030|100
5	永生瀑布	1	1	1			10037|100	10038|100	10039|100	10039|100	10039|100	10039|100	10039|100	10039|100	10039|100	10039|100
6	鱼人萨满	1	1	1			10046|100	10047|100	10048|100	10048|100	10048|100	10048|100	10048|100	10048|100	10048|100	10048|100
7		1	1	1												
8		1	1	1												
9	桅杆密室	2	1	1				10074|100								
10	船长曲奇	2	1	1			10082|100		10084|100	10084|100	10084|100	10084|100	10084|100	10084|100	10084|100	10084|100
11	地精熔炉	2	1	1			10091|100	10092|100	10093|100	10093|100	10093|100	10093|100	10093|100	10093|100	10093|100	10093|100
12	知性暗夜御姐	2	1	1			10100|100	10101|100	10102|100	10102|100	10102|100	10102|100	10102|100	10102|100	10102|100	10102|100
13	无惧舰船	2	1	1			10109|100	10110|100	10111|100	10111|100	10111|100	10111|100	10111|100	10111|100	10111|100	10111|100
14	兄弟会头目	2	1	1			10118|100	10119|100	10120|100	10120|100	10120|100	10120|100	10120|100	10120|100	10120|100	10120|100
15		2	1	1												
16		2	1	1												
17	幽灵饭厅	3	1	1				10146|100								
18	指挥官	3	1	1			10154|100		10156|100	10156|100	10156|100	10156|100	10156|100	10156|100	10156|100	10156|100
19	指挥官大厅	3	1	1			10163|100	10164|100	10165|100	10165|100	10165|100	10165|100	10165|100	10165|100	10165|100	10165|100
20	大龄文艺女青年	3	1	1			10172|100	10173|100	10174|100	10174|100	10174|100	10174|100	10174|100	10174|100	10174|100	10174|100
21	勋爵瞭望塔	3	1	1			10181|100	10182|100	10183|100	10183|100	10183|100	10183|100	10183|100	10183|100	10183|100	10183|100
22	阿卢高	3	1	1			10190|100	10191|100	10192|100	10192|100	10192|100	10192|100	10192|100	10192|100	10192|100	10192|100
23		3	1	1												
24		3	1	1												
25	哈斯卡之池	4	1	1				10218|100								
26	麦尔酷	4	1	1			10226|100		10228|100	10228|100	10228|100	10228|100	10228|100	10228|100	10228|100	10228|100
27	月神废墟	4	1	1			10235|100	10236|100	10237|100	10237|100	10237|100	10237|100	10237|100	10237|100	10237|100	10237|100
28	腼腆得头顶锅	4	1	1			10244|100	10245|100	10246|100	10246|100	10246|100	10246|100	10246|100	10246|100	10246|100	10246|100
29	阿库麦尔的巢穴	4	1	1			10253|100	10254|100	10255|100	10255|100	10255|100	10255|100	10255|100	10255|100	10255|100	10255|100
30	曙光领主	4	1	1			10262|100	10263|100	10264|100	10264|100	10264|100	10264|100	10264|100	10264|100	10264|100	10264|100
31		4	1	1												
32		4	1	1												
33	亡语者大厅	5	20	1				10290|100								
34	暴怒螺丝	5	20	1			10298|100		10300|100	10300|100	10300|100	10300|100	10300|100	10300|100	10300|100	10300|100
35	野猪之穴	5	20	1			10307|100	10308|100	10309|100	10309|100	10309|100	10309|100	10309|100	10309|100	10309|100	10309|100
36	看似哥哥听似姐姐	5	20	1			10316|100	10317|100	10318|100	10318|100	10318|100	10318|100	10318|100	10318|100	10318|100	10318|100
37	主宰拉姆塔斯	5	20	1			10325|100	10326|100	10327|100	10327|100	10327|100	10327|100	10327|100	10327|100	10327|100	10327|100
38	小奶长者	5	20	1			10334|100	10335|100	10336|100	10336|100	10336|100	10336|100	10336|100	10336|100	10336|100	10336|100
39		5	20	1												
40		5	20	1												
41	麻疯宿舍	6	24	1				10362|100								
42	机器人960	6	24	1			10370|100		10372|100	10372|100	10372|100	10372|100	10372|100	10372|100	10372|100	10372|100
43	发射台大厅	6	24	1			10379|100	10380|100	10381|100	10381|100	10381|100	10381|100	10381|100	10381|100	10381|100	10381|100
44	德莱尼夫人	6	24	1			10388|100	10389|100	10390|100	10390|100	10390|100	10390|100	10390|100	10390|100	10390|100	10390|100
45	工匠议会室	6	24	1			10397|100	10398|100	10399|100	10399|100	10399|100	10399|100	10399|100	10399|100	10399|100	10399|100
46	机械师	6	24	1			10406|100	10407|100	10408|100	10408|100	10408|100	10408|100	10408|100	10408|100	10408|100	10408|100
